time,open,high,low,close,tick_volume,spread,real_volume
2025-07-23 11:34:00,1.17259,1.17269,1.17259,1.17264,79,2,0
2025-07-23 11:35:00,1.17264,1.17275,1.1724700000000001,1.1727400000000001,62,2,0
2025-07-23 11:36:00,1.1727400000000001,1.17278,1.17272,1.17276,54,2,0
2025-07-23 11:37:00,1.17275,1.17276,1.17255,1.17273,53,2,0
2025-07-23 11:38:00,1.17273,1.1727400000000001,1.17262,1.17269,56,2,0
2025-07-23 11:39:00,1.1727,1.17276,1.17267,1.1727400000000001,29,2,0
2025-07-23 11:40:00,1.1727400000000001,1.17294,1.17272,1.17294,88,2,0
2025-07-23 11:41:00,1.17294,1.17297,1.17279,1.17281,83,2,0
2025-07-23 11:42:00,1.17281,1.1728399999999999,1.1727,1.17279,72,2,0
2025-07-23 11:43:00,1.17279,1.17302,1.17279,1.17297,95,2,0
2025-07-23 11:44:00,1.17297,1.17313,1.17297,1.17305,124,2,0
2025-07-23 11:45:00,1.17305,1.17305,1.17283,1.1728399999999999,97,2,0
2025-07-23 11:46:00,1.1728399999999999,1.17289,1.17282,1.17288,65,2,0
2025-07-23 11:47:00,1.17288,1.17289,1.17273,1.1727400000000001,46,2,0
2025-07-23 11:48:00,1.1727400000000001,1.17278,1.17264,1.17277,62,2,0
2025-07-23 11:49:00,1.17277,1.17294,1.17277,1.17289,58,2,0
2025-07-23 11:50:00,1.17289,1.1729,1.1728399999999999,1.17286,40,2,0
2025-07-23 11:51:00,1.17285,1.17291,1.1728,1.17289,58,2,0
2025-07-23 11:52:00,1.17289,1.17291,1.17283,1.1729,69,2,0
2025-07-23 11:53:00,1.1729,1.17293,1.17286,1.1729,49,2,0
2025-07-23 11:54:00,1.1729,1.17292,1.17287,1.1729,44,2,0
2025-07-23 11:55:00,1.1729,1.17313,1.1728399999999999,1.17307,104,2,0
2025-07-23 11:56:00,1.17307,1.1731,1.17288,1.1729,112,2,0
2025-07-23 11:57:00,1.17289,1.17296,1.17269,1.1727400000000001,175,2,0
2025-07-23 11:58:00,1.17275,1.17288,1.17262,1.1727400000000001,150,2,0
2025-07-23 11:59:00,1.1727400000000001,1.17275,1.17256,1.17257,94,2,0
